url,alt,caption,credit
"https://s3.amazonaws.com/snwceomedia/ids/72e234a0-022c-488a-bd73-c13d3d7e0755.original.jpg","fans cheer in the stands","A fan cheers on her team March 28, 2026, at Bill Armstrong Stadium in Bloomington. 36 women’s teams competed to fill the 33 open slots to race in Little 500.","Briana Pace"
"https://s3.amazonaws.com/snwceomedia/ids/5f9693bf-c2b1-4905-bb14-3b89bfd530ec.original.jpg","A biker screams","A member of Mother Bears Cycling cheers for his teammate March 28, 2026, at Bill Armstrong Stadium in Bloomington. It was the final lap of the team’s qualification.","Briana Pace"
"https://s3.amazonaws.com/snwceomedia/ids/9c9da5cb-0ff7-4638-89c3-50106ad4be5d.original.jpg","two bikers handoff their bike","Members of Bears Cycling complete an exchange March 28, 2026, at Bill Armstrong Stadium in Bloomington. The team qualified for the Little 500 race with a time of 02.30.652 seconds.","Briana Pace"
"https://s3.amazonaws.com/snwceomedia/ids/d954d1e5-1657-4c45-a1cb-264ab759ad20.original.jpg","A biker cheers infront of a leaderboard","A Beta Sigma Psi rider celebrates March 28, 2026, at Bill Armstrong Stadium in Bloomington. The team qualified for the Little 500 race with a time of 02.29.454 seconds.","Briana Pace"
"https://s3.amazonaws.com/snwceomedia/ids/4c5ce10c-906b-4f35-b9ea-f77bd8486e7f.original.jpg","A biker pedals on their bike","Rider for team Theta Phi Alpha takes off during qualifications for the Little 500 March 28, 2026, at Bill Armstrong Stadium in Bloomington. Theta Phi Alpha did not place in the 2025 Little 500 race.","Kaitlyn Stacy"
"https://s3.amazonaws.com/snwceomedia/ids/0820ae8d-2fb8-4a95-ac17-d08d3196f3a6.original.jpg","Fans cheer with their hands in the air","Supporters for the Kappa Alpha Theta team cheer during qualifications on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Kappa Alpha Theta placed first the last two years in the Little 500 women's race.","Kaitlyn Stacy"
"https://s3.amazonaws.com/snwceomedia/ids/d4a5fa10-f8e4-4ad4-aa0a-2a660bf2e43e.original.jpg","Two bikers hug","Delta Gamma cyclers share a hug after completing their qualifying race for Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Delta Gamma finished fourth in the qualifying race.","Sophia Kaplan"
"https://s3.amazonaws.com/snwceomedia/ids/2d67b83d-a4c9-40ec-9160-ba26e42976be.original.jpg","A biker sits on their bike","A cyclist for Delta Zeta races during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Delta Zeta finished 19th in the qualifying race.","Sophia Kaplan"
"https://s3.amazonaws.com/snwceomedia/ids/7a97893e-ce8d-4fd7-b03a-278d7572b123.original.jpg","A biker pedals their bike","A cyclist for Rideon Cycling races during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. Rideon finished 8th in the qualifying race.","Sophia Kaplan"
"https://s3.amazonaws.com/snwceomedia/ids/91077d6c-4780-4fb5-8f71-e26e1a63cfb8.original.jpg","Two bikers hug","Cyclists for Christian Student Fellowship hug during qualifications for the Little 500 on March 28, 2026, at Bill Armstrong Stadium in Bloomington. The CSF women's team finished 6th in the qualifying race.","Jimmy Rush"
